doc_id;current_filename;ref_key;title;authors;year;venue;venue_type;doi_url
fed_01;Article_fed_01.pdf;Denton2008;NAOMI – An Experimental Platform for Multi-modeling;Trip Denton, Edward Jones, Srini Srinivasan, Ken Owens, Richard W. Buskens;2008;MoDELS;CONF;https://doi.org/10.1007/978-3-540-87875-9_10
fed_02;Article_fed_02.pdf;Klare2021;Enabling consistency in view-based system development—The Vitruvius approach;Heiko Klare, Max E. Kramer, Michael Langhammer, Dominik Werle, Erik Burger, Ralf Reussner;2021;JSS;JOUR;https://doi.org/10.1016/j.jss.2020.110815
fed_03;Article_fed_03.pdf;Torngren2014;Integrating viewpoints in the development of mechatronic products;Martin Törngren, Ahsan Qamar, Matthias Biehl, Frederic Loiret, Jad El-khoury;2014;Mechatronics;JOUR;https://doi.org/10.1016/j.mechatronics.2013.11.013
fed_04;Article_fed_04.pdf;VanTendeloo2017;The Modelverse: a Tool for Multi-Paradigm Modelling and Simulation;Yentl Van Tendeloo, Hans Vangheluwe;2017;WinterSim;CONF;https://doi.org/10.1109/WSC.2017.8247845
fed_05;Article_fed_05.pdf;Ractiu2024;Using reactive links to propagate changes across engineering models;Cosmina-Cristina Raţiu, Wesley K. G. Assunção, Edvin Herac, Rainer Haas, Christophe Lauwerys, Alexander Egyed;2024;SoSyM;JOUR;https://doi.org/10.1007/s10270-024-01186-w
fed_06;Article_fed_06.pdf;Elkhoury2016;Modelling Support for a Linked Data Approach to Tool Interoperability;Jad El-khoury, Didem Gurdur, Frederic Loiret, Martin Törngren, Da Zhang, Mattias Nyberg;2016;ALLDATA;CONF;
fed_07;Article_fed_08.pdf;Golra2016b;Addressing modularity for heterogeneous multi-model systems using model federation;Fahad R. Golra, Antoine Beugnard, Fabien Dagnat, Sylvain Guérin, Christophe Guychard;2016;MODULARITY;WSHOP;https://doi.org/10.1145/2892664.2892701
fed_08;Article_fed_15.pdf;Taromirad2013;Towards a Multi-Domain Model-Driven Traceability Approach;Masoumeh Taromirad, Nicholas Matragkas, Richard F. Paige;2013;MPM;WSHOP;
fed_09;Article_fed_17.pdf;Demuth2015;DesignSpace – An Infrastructure for Multi-User/Multi-Tool Engineering;Andreas Demuth, Markus Riedl-Ehrenleitner, Alexander Nöhrer, Peter Hehenberger, Klaus Zeman, Alexander Egyed;2015;SAC;CONF;https://doi.org/10.1145/2695664.2695697
fed_10;Article_fed_18.pdf;Schone2020;Connecting Conceptual Models using Relational Reference Attribute Grammars;René Schöne, Johannes Mey, Sebastian Ebert, Uwe Aßmann;2020;MoDELS;CONF;https://doi.org/10.1145/3417990.3421437
fed_11;Article_fed_20.pdf;Bruneliere2015;EMF Views: A View Mechanism for Integrating Heterogeneous Models;Hugo Bruneliere, Jokin Garcia Perez, Manuel Wimmer, Jordi Cabot;2015;ER;CONF;https://doi.org/10.1007/978-3-319-25264-3_23
fed_12;Article_fed_21.pdf;Toure2018;Megamodel Consistency Management at Runtime;El Hadji Bassirou Toure, Ibrahima Fall, Alassane Bah, Mamadou Samba Camara;2017;CNRIA;WSHOP;https://doi.org/10.1007/978-3-319-72965-7_24
fed_13;Article_fed_22.pdf;Golra2018;Bridging the Gap Between Informal Requirements and Formal Specifications Using Model Federation;Fahad Rafique Golra, Fabien Dagnat, Jeanine Souquières, Imen Sayar, Sylvain Guerin;2018;STAF;CONF;https://doi.org/10.1007/978-3-319-92970-5_4
fed_14;Article_fed_23.pdf;Salay2009;Using Macromodels to Manage Collections of Related Models;Rick Salay, John Mylopoulos, Steve Easterbrook;2009;CAiSE;CONF;https://doi.org/10.1007/978-3-642-02144-2_15
fed_15;Article_fed_24.pdf;Golra2016a;Continuous Requirements Engineering Using Model Federation;Fahad R. Golra, Antoine Beugnard, Fabien Dagnat, Sylvain Guerin, Christophe Guychard;2016;RE;CONF;https://doi.org/10.1109/RE.2016.42
fed_16;Article_fed_25.pdf;Kolovos2008;Detecting and Repairing Inconsistencies Across Heterogeneous Models;Dimitrios S. Kolovos, Richard F. Paige, Fiona A. C. Polack;2008;ICST;CONF;https://doi.org/10.1109/ICST.2008.23
fed_17;Article_fed_26.pdf;Bajaj2017;Graph-Based Digital Blueprint for Model Based Engineering of Complex Systems;Manas Bajaj, Jonathan Backhaus, Tim Walden, Manoj Waikar, Dirk Zwemer, Chris Schreiber, Ghassan Issa;2017;InCoSe IS;CONF;https://doi.org/10.1002/j.2334-5837.2017.00351.x
fed_18;Article_fed_27.pdf;Niemoller2013;Model Federation and Probabilistic Analysis for Advanced OSS and BSS;Jörg Niemöller, Leonid Mokrushin, Konstantinos Vandikas, Stefan Avesand, Lars Angelin;2013;NGMAST;CONF;https://doi.org/10.1109/NGMAST.2013.30
fed_19;Article_fed_28.pdf;Asuncion2009;Capturing custom link semantics among heterogeneous artifacts and tools;Hazeline U. Asuncion, Richard N. Taylor;2009;ICSE;WSHOP;https://doi.org/10.1109/TEFSE.2009.5069574
fed_20;Article_fed_29.pdf;Blouin2014;Extensible Global Model Management with Metamodel Subsets and Model Synchronization;Dominique Blouin, Yvan Eustache, Jean-Philippe Diguet;2014;GeMoC;WSHOP;
fed_21;Article_fed_30.pdf;Seibel2009;Dynamic hierarchical mega models: comprehensive traceability and its efficient maintenance;Andreas Seibel, Stefan Neumann, Holger Giese;2010;SoSyM;JOUR;https://doi.org/10.1007/s10270-009-0146-z
fed_22;*** TO ACQUIRE ***;Paredis2022;Multi-Paradigm Modelling For Model Based Systems Engineering. Extending The FTG+PM;Paredis, Randy and Exelmans, Joeri and Vangheluwe, Hans;2022;ANNSIM;CONF;
fed_23;*** TO ACQUIRE ***;Pastor2013;Automating The Interoperability of Conceptual Models In Specific Development Domains;Pastor, Oscar and Giachetti, Giovanni and Marin, Beatriz and Valverde, Francisco.;2013;DE;BOOK;
